00014E71,"麥克邁納斯: 成功了！碉堡淨空！"
6580969C,"少將 IV"
6584248E,"已損毀艦艇"
6584916C,"勞倫斯: 我們得知鄂圖曼軍的列車即將載著很重要的書籍穿越沙漠。"
658C699E,"天啊，我好餓。"
658C69A2,"天啊，我好餓。"
65906F30,"尚未奪取"
6590C646,"未選擇儲存裝置。您將需要選擇一個儲存裝置，以便能夠儲存或載入遊戲。"
6592CA2B,"歡迎光臨Battlelog"
65946415,"未選擇儲存裝置。您需要選擇一個儲存裝置，才能夠儲存玩家設定檔。"
6594ED9C,"組態"
65992803,"使用AK-12擊殺500人"
659A14EA,"敵方標記你為目標"
659E8221,"我想再兩小時就放飯了吧。"
659E8225,"我想再兩小時就放飯了吧。"
659E9205,"AK-12大師狗牌"
65A6B3B5,"費德洛夫自動步槍（瞄準鏡）小任務"
65AC07AD,"RPK-74M武器戰鬥包內含四個項目。每一包會給你幾個RPK-74M專用附掛，直到你解鎖了全部。"
65AC5C8D,"中尉II"
65B09AA0,"我不知道等不等得了那麼久。"
65B09AA4,"我不知道等不等得了那麼久。"
65B326D2,"唐森: 這裡是調度場。他們打算奪回康布雷。"
65C030B5,"新的改造"
65C1359B,"切換迷你地圖"
65C2B323,"不管你喜不喜歡，這是規矩。"
65C2B327,"不管你喜不喜歡，這是規矩。"
65C46729,"無法將玩家踢出"
65CBEA49,"如果您擁有 EA 帳號，現已更新名為 Origin 帳號。您的所有資訊，包含帳號和密碼，將不會有所變動。如果您還未申請 Origin 帳號，可在取用線上服務前的下個畫面申請。  我同意我的電子郵件地址、州或省、國家、語言和出生日期可被轉移至 EA，以建立我的 Origin 帳號。"
65D02499," ADDITIONAL TECHNICAL SCRIPTERS"
65D1E78B,"榮耀墮獄"
65D4CBA2,"今天吃什麼？"
65D4CBA6,"今天吃什麼？"
65D4F8B1,"唐森: 駕駛！讓貝絲恢復運作，這是命令！"
65D66C12,"在四張超大地圖上，駕駛全新載具及使用高科技軍事裝備，於浩瀚宏偉的中國本土為取得霸權而戰。"
65D95A18,"Y LIGHTER 登陸艇"
65DF50C7,"在戰役中完成所有挑戰"
65E2F430,"這款半自動步槍是 SMLE 手動槍機步槍的可靠自動化改造版。"
65E476C1,"微型無人偵察機"
65E484DD,"戰壕潛望鏡"
65E4BAC9,"戰場應變大師"
65E55797,"工程裝備"
65E59519,"與你的小隊活到最後。"
65E6E425,"跟平常一樣的爛東西。"
65E6E429,"跟平常一樣的爛東西。"
65E80065,"選擇使用搖桿且未縮放時的加速量。如果您希望搖桿瞄準如同《戰地風雲4》中的一樣不加速，請將值設為 0。在縮放模式下沒有搖桿瞄準加速。"
65E9CD8D,"微調坦克駕駛位置的瞄準靈敏度。這會改變基礎選項中的載具靈敏度設定。"
65EAFF1B,"蒼狼軍團勳章"
65EDC1FF,"以支援兵身分進行 50 次擊殺"
65F187AA,"愛德華: 抱歉了小子們。"
65F8FCA4,"天啊，如果有烤鮭魚跟一杯雷司令葡萄酒，要我死我都願意。"
65F8FCA8,"天啊，如果有烤鮭魚跟一杯雷司令葡萄酒，要我死我都願意。"
65FB443B,"DEVELOPMENT"
65FF016E,"勞倫斯: 那裡的指揮官帶著高優先級的訊息囊。我們必須用那些訊息囊來寄送我們的指令。"
6602C928,"勞倫斯: 他們在幹嘛？他們看得到什麼、看不到什麼？知道這些答案能夠在關鍵時刻保住你的命。"
66059AA4,"唐森: 今天過得非常辛苦，但任務尚未結束。快點行─"
66080014,"愛德華: 來吧，振作起來。回到崗位上。"
660B1527,"喔，閉嘴好嗎。"
660B152B,"喔，閉嘴好嗎。"
660B860C,"AAS"
660F9A10,"完成 5 個保持專注小任務"
661082F2,"唐森: 調整射程，麥克邁納斯！"
661C62DF,"向右偏擺"
661DFBD4,"愛德華: 小混蛋還在移動！"
661F31A0,"[personaname]離開了您的伺服器"
6621B291,"完成 5 個保持專注小任務"
6624FD0E,"勞倫斯: 你必須在裝置炸藥前先除掉在場的敵人，扎拉。"
6627F11A,"使用MI-28破壞者擊殺500人"
662A5999,"兩個目標皆已失守"
662BBBAB,"布萊克本: 你真的應該要學會如何享受人生，威爾森！"
662D5B1C,"MI-28破壞者大師狗牌"
662FA38A,"芬奇: 野戰砲就這樣直接打穿了那台坦克！"
663294D9,"愛德華: 狠狠給德國佬來一發！"
66336E12,"唐森: 在幹掉所有步兵以前堅守陣地！"
6633B5B8,"刺刀 消光器 覘孔式瞄具"
6633CB12,"完成 「傲慢之證 」 以開始"
6638BEE1,"用迫擊砲（空爆）進行 20 次擊殺"
663A0C92,""
663B5CD3,"如果他們沒被處罰，就應該負責不會讓我們送命的工作。"
663E046C,"極難"
6643C790,"勾索"
6645E393,"完成 「色慾之證 」 以開始"
6646A3FF,"Y-LIGHTER"
664A4366,"你可以直接部署在位於你基地內有空位的載具。選擇欲部署的載具並按下："
664BB33D,"使用ZFB-05裝甲車擊殺500人"
664C0F25,"偵察信鴿"
66511D3F,"ZFB-05裝甲車大師狗牌"
6652F8CC,"沙漠"
6656A043,"黑貝絲修復完畢後，再次對康布雷的集結點做一次亡命推進。"
6657FC14,"完成 「貪婪之證 」 以開始"
665B5213,"最佳武器"
666217F7,"好友名單"
66673228,"彎刀是水手的標誌性武器，並且在數個世紀以來都是各國海軍上艦殺敵與近身搏鬥的利器。這款武器有著短且寬的刀身以及彎曲的刀鋒，在刀柄處還有堅固的杯狀護手。  在一次大戰期間，多國海軍仍會用彎刀進行例行擊劍訓練，而在戰時也有許多運用彎刀的紀錄。在戰爭前期，英國皇家海軍在北海進行船艦檢查時，便會裝備彎刀與手槍登艦。在 1917 年的多佛海峽戰役中，英軍驅逐艦迅速號撞上了德軍魚雷快艇 G42 號，雙方船艦皆無法動彈，於是英軍便利用彎刀和其他武器與試圖登艦的德軍水手殺得難分難解。在 1918 年的澤布呂赫突襲戰中，德英雙方也有不少使用彎刀戰鬥的記載。"
666951B4,"海軍彎刀"
666A1495,"完成 「憤怒之證 」 以開始"
666AFF04,"來自《Battlefield 1》團隊的一份結尾辭。紀念那些曾服役過的戰士們。"
666B6A56,"布萊克本: 喔天啊。她又軟、又滑順，聞起來還很香呢！"
666E343C,"麥克邁納斯: 我們的坦克再也撐不住那樣一下了。"
666EB08D,"地圖設定"
667202F7,"霰彈"
667415A2,"畢夏: 這次我們有無畏艦了。小子，快把耳朵塞住，接下來會很吵的。"
6675B378,"士兵/砲手搖桿"
6676451B,"重新部署"
667C2D16,"完成 「嫉妒之證 」 以開始"
667E1521,"PDLC TEAM"
6683CCC6," CONSUMER INSIGHTS MANAGER"
668D6AFD,"利貝羅勒 1918（原廠）"
668D8945,"在同一回合中完成 300 治療"
668DFAAB,"玫瑰正紅，紫羅蘭正藍。救助你的隊友，也要記得幫他們看看有沒有敵人來犯。"
668E1389,"M1918 白朗寧自動步槍（壕溝戰）"
668E8515,"銅色閃耀塗裝讓你在《戰地風雲》的戰場上更為出眾。"
668EE636,"代表列支敦斯登的狗牌"
6692F347,"治愈勳帶"
66931B3D,"俄羅斯帝國軍西南前線的指揮官阿列克塞·勃魯西洛夫將軍於 1916 年 6 月 4 日在加利西亞對奧匈帝國軍隊發動一場規模龐大的攻擊。 "
669364AD,"情人節"
66945038,"列支敦斯登"
669592CB,"解開在中央塔的鎖"
6696361F,"用 Howell 自動步槍進行 10 次擊殺"
66981519,"設定地面載具搖桿配置。"
669CB833,"您的派對有可加入的遊戲。您是否要加入？"
669D19D2,"自訂"
669FEB3C,"PRODUCER"
66A10B57,"ADDITIONAL ART DIRECTION"
66A41889,"控制飛機"
66A4ED8E,"炸彈已設置"
66A52CC5,"從戰鬥包解鎖{0:d}/{1:d}"
66A92885,"部署M2地雷"
66AA6D50,"完成嫉妒之證勤務小任務"
66AFADC9,"此數值控制玩家被殺後，必須等在重生選單的時間。"
66AFD752,"嫉妒印記"
66B0A253,"請稍候。"
66B0CA58,"威爾森: 幹掉一個！"
66B13C09,"SMLE MKIII（步兵）"
66B35F37,"殲滅防守者並守住佔領區來佔領目標。"
66B51232,"ID_RSP_KIT_SCOUT_DESC"
66BF6FE5,"盧卡的小屋"
66C18C9F,"BURTON LMR"
66CAE2B2,"丟出彈藥包"
66CCFD58,"布萊克本: 你在後面還好嗎？！"
66CEE35B,"顯示定點武器"
66D217E7,"愛德華: 我們可以再次上路了！"
66D2AFBE,"嗯，我寧可回到我的家鄉布萊頓。"
66D3AE81,"恭喜！你已解鎖一個多人模式專用的特殊狗牌。"
66D824DC,"用毒氣手榴彈造成 500 點士兵傷害"
66DB0BA1,"在自身著火的情況下進行 25 次擊殺"
66DBBA74,"德國攻勢受阻，而現在由協約國取得了主導地位。在 7 月 18 日，協約國最高指揮官福煦聯合了法國、美國、英國和義大利部隊發動了大規模反制攻擊，由密集火網突擊打頭陣，並伴隨著 350 輛坦克和多架戰鬥機。這是戰爭結束的開始，隨後不久，協約國聯軍就發動了對德國人毫不留情的百日攻勢，這場攻勢一直持續到 11 月 11 日停戰為止。"
66DFC178,"城堡"
66E2B702,"麥克邁納斯: 讓貝絲回復運作！"
66E3E923,"播放影片"
66E60988,"必要的遊戲資料將會安裝到主機儲存空間上。當主機儲存空間指示燈閃爍時，請不要關閉或重設系統。"
66E8B4D6,"麥克邁納斯: 喔不，你別以為你能現在丟下我們。"
66E8D265,"QA DIRECTOR"
66EA310F,"A5 霰彈槍"
66EB71C3,"法軍屠刀"
66EDDF12,"唐森: 輕型坦克！你看到了嗎？"
66F07DFD,"近戰擊殺"
66F237E1,"繼續向右方開火，別讓他們靠近！"
66F5B6F6,"士兵專業分工"
66F8BBF3,"撬棍"
66FF05D6,"愛德華: 駕駛，開車，我是個私人司機。"
66FFB7A8,"大規模全面空戰"
670080FD,"威爾森: 我們無法再承受這樣的攻擊了！"
67013713,"用 Mk VI 左輪手槍擊殺 100 人的獎勵"
67024579,"骨架追蹤"
67025BBE,"比查特: 那風車裡有野戰砲！"
67065B85,"好友"
6706A115,"Mk VI 左輪手槍背面"
670813FB,"延遲"
6709D4C6,"拆除中"
670C24F7,"威爾森: 德軍……很近……聽到了嗎？"
670D23BC,"M1911A1"
670D5140,"用戰鬥機進行 10 次擊殺"
671179C2,"查無統計資料。好友尚未玩過《戰地風雲4》線上遊戲。"
67127A2C,"系統"
6712D9F9,"唐森: 你在搞什麼鬼啊？！我們得回到戰場上！"
67138368,"唐森: 愛德華，發生了什麼事？！"
671391F1,"奧匈帝國"
6713F1F2,"麥克邁納斯: 你要錯過大場面了，芬奇！"
6718ABE1,"在 1 小時實際遊戲時間內每次得分都額外獲得 50% 分數！分數將在回合結束時加入。"
671B5DDE,"射擊模式"
671DA311,"搭載炮兵飛彈武器系統的裝甲戰鬥載具。"
67216ECA,"LOCALIZATION TESTERS"
6722EC05,"代表法羅群島的狗牌"
672321BE,"在加利西亞進行 10 次擊殺"
6724217E,"必須先安裝此內容以確保最佳效果和遊戲體驗才能玩《戰地風雲4》。此安裝動作需要2GB可用儲存空間。"
6726C3DB,"開山刀"
67285607,"法羅群島"
672BA735,"L 級驅逐艦"
673102D6,"突擊兵兵種階級"
6733BEBC,"目標摧毀"
67347C28,"切換射擊模式"
6738F4DA,"戰壕奇兵"
673EBE65,"留心左邊！"
673FA690,"布萊克本: 好耶！"
67404706,"馬提尼·亨利步槍"
6741BBAE,"芬奇: 我一直都很小心。"
6741FEC1,"動態感測輔助"
6742A077,"WEAPON & VEHICLE ARTIST"
674A0396," WORLD ARTIST"
674DF200,"調整載具座位佈局的可見度。"
674FC907,"SERVICE OPERATIONS DIRECTOR"
67516E94,"火蛇"
67535914,"威爾森: 那些混蛋所剩不多了！"
6755041E,"指揮官空位"
675CA5D6,"57mm 反坦克砲彈"
675CA605,"57mm 砲彈"
675CA6AE,"57mm 高爆砲彈"
675CA8A8,"57mm 燃燒砲彈"
67638815,"唐森: 好了……那就是布爾隆鎮。集結點就在另一側的五英里外。"
676CA505,"您已完成購買《戰地風雲4》高級版。"
676D63A1," CASTING"
6773DE59,"ADDITIONAL USER EXPERIENCE PRODUCER"
677D838B,"雙人座飛機在一次大戰中已經廣泛使用。雖然所扮演的角色有些變化，這款戰機主要用於偵察與地面攻擊任務。利用後方的機槍來保護好自己。"
6781DDEC,"使用M2地雷擊殺500人"
67827EFD,"喂，渾球！"
678426B7,"獲得無線電信標重生勳帶50次"
67853C18,"精準神射手步槍"
678747EE,"M2地雷大師狗牌"
67874B3A,"反轉"
678990B9,"無線電信標重生勳章"
67899DB5,"輕機槍"
678A361C,"所有進行荒蕩征服的《戰後餘生》地圖。"
678BAB00,"PDW 防衛槍"
678C4E3B,"飛機"
6792F541,"多洛米蒂山脈 1918"
6794977D,"什麼？"
67949781,"什麼？"
679802C4,"瞄準輔助"
679A4FEB,"開啟降落傘"
67A1CD7A,"投擲急救包"
67A3DDAB,"在「傳令兵」中用佩槍擊敗 10 個敵人"
67A6AFFF,"騙到你了！"
67AA6FA6,"無密碼設定"
67ABBCAA,"布萊克本: 我們還沒墜毀！"
67B0DF74,"RSC 衝鋒槍（原廠）小任務"
67B4B4CD,"勞倫斯: 當我們得知一列出軌的鄂圖曼列車上載有非常有趣的貨物時，幸運之神似乎站到了我們這邊。"
67B85FB5,"費羅梅爾停止手槍"
67B8C87F,"白癡。"
67B8C883,"白癡。"
67BA0F69,"指揮官評價"
67C04E0C," SENIOR DIRECTOR TEST ENGINEERING"
67C0A9BF,"購買《Battlefield》高級版以使用此內容。"
67CAE101,"我只是玩玩而已。你不用對我這麼兇。"
67CC4E24,"您尚未達到可使用線上功能的年齡，或無使用線上功能的正確權限。"
67CED5DF,"癱瘓 25 個引擎"
67D5BF3D,"少將 V"
67D709B5,"重新部署"
67D7C145,"SELBSTLADER 1906（神射手）勤務之星"
67D7C155,"SELBSTLADER 1906（狙擊手）勤務之星"
67D8B957,"控制第一人稱縮放的武器顯示是否會變模糊。"
67DCF981,"你媽昨晚也是這樣跟我說的。"
67DCF985,"你媽昨晚也是這樣跟我說的。"
67DE552A,"攻擊方可在兩個敵隊目標中任一個設置並引爆炸彈即可贏得一回合"
67E1FCF4,"這種飛船的衍生型被改進用於投放水雷和破片炸彈，具備豐富的進攻能力。"
67E25C4F,"唐森: 那可真是他媽驚人的表現。我們說不定能成功活下來呢，是吧麥克邁納斯？"
67ED183B,"我們必須守住這個防線！"
67ED183C,"我們絕不退讓一絲一毫，聽見沒有！想都別想！"
67EE50A4,"使用SCAR-H擊殺500人"
67EF1203,"別把我媽扯進來。"
67F25748,"在一回合內取得最高偵察分數"
67F30F13,"因為受限於家長控制，您的 Sony Entertainment Network 帳戶的線上服務已遭停用。"
67F3BAA6,"SCAR-H大師狗牌"
67F92ACD,"向下滑動觸碰板"
67FA85B0,"請求指令"
67FB0797,"更新頁面"
67FD6120,"向左滑動觸碰板"
68012A83,"真巧，你姊姊昨晚也這樣說，但她改變主意了，所以我們就一起開了個開心的派對。"
68012A87,"真巧，你姊姊昨晚也這樣說，但她改變主意了，所以我們就一起開了個開心的派對。"
6801852E,"中尉III"
6803F520,"重新命名"
68054A24,"舉報"
6806D450,"退出指揮官"
6809E51B,"團隊死鬥勤務之星"
6810DDDA,"愛德華: 剛剛好像有點開得太快了。"
68132FF2,"DICE BABIES"
68134305,"去你的！"
6813D89D,"10.00 倍縮放靈敏度"
68184CD3,"向右滑動觸碰板"
681D1913,"麥克邁納斯: 小心！他靠得很近！"
682922D3,"勞倫斯: 而不是把書放在裝滿敵方士兵的列車裡。"
6829B5BC,"快給我滾回掩蔽里！"
682A775E,"允許玩家選取偵察兵種。"
682B94B3,"體驗《海軍風暴》中的鮮活海上作戰，中國艦隊則將戰場轉移至海上。"
682D4770,"威爾森: 轟炸機才是目標！專注於對付他們！"
6831DCAF,"發出疏散指令"
68347968,"技巧值活動 4"
6839E36A,"技巧值活動 4"
6842EAA0,"重新補給 50 名不同的盟友"
6844DFA8,"愛德華: 再一下下！"
6845A653,"單人模式專屬狗牌"
6847873D,"引爆炸彈"
684A4BC7,"唐森: 你確定嗎，麥克邁納斯？"
684AADB9,"萊文斯毒氣發射器"
684B1055,"鄧恩上士狗牌"
6856D697," GAMEPLAY LEAD ANIMATOR"
6858AB3E,"鐵蒺藜"
6858B11F,"用 M1911 地獄戰士取得 100 個擊殺數"
6858B12B,"用 M1911 步兵小子取得 100 個擊殺數"
68594065,"37/95 偵察車"
685AE68E,"50% 經驗值加乘- {0:d}"
685BC9B7,"無盡廢墟"
685D2D79,"坦克獵手"
685E044A,"莫爾蒙戰壕"
685E9136,"M1917 機槍（輕量化）"
685F50E8,"霰彈塊 - 1 顆固體彈藥 長槍管 鹿角式瞄具"
68618815,"MC 18J 附邊車摩托車"
68666C3D,"將訊息傳遞回總部"
68715DE7,"「不然你是想怎樣？  拿鐮刀砍我嗎？」- 被鐮刀砍死的無名士兵。  在東歐的遼闊鄉間，戰鬥可不僅僅發生在戰場上，有時也會在撤退時發生衝突，或者發生騷亂，迫使士兵和平民們必須使用手上能找到的各種武器與工具來自衛。  在情況危急時，這個務農工具的尖利刀鋒能作為極為趁手的戰鬥刀使用，而在過去，鐮刀、大鐮，甚至鏟子都曾臨危受命，被拿來當作戰鬥武器使用。"
68721F5B,"麥克邁納斯: 炸爛那座野戰砲！"
68737D73,"鐮刀"
68739A21,"用重機槍進行 10 次擊殺"
68741FC8,"JSC 模組已遺失或損毀。請嘗試重新安裝應用程式。"
687818A3,"老鳥士兵"
687818A4,"老鳥護衛"
687818A5,"老鳥步兵"
687818A6,"老鳥騎兵"
68781CE4,"驃騎兵"
68781CE5,"阿布克萊"
68782125,"上校"
6878977D,"德軍的 K 彈，或稱為「Spitzgeschoss mit Kern (S.m.K.)」，是能從 Gewehr 98 與 MG08 等常規德軍步兵武器中發射的 7.92x57 mm 的鋼芯子彈。最初這些子彈是開發來對付一次大戰中常見的狙擊裝甲陣地以及步兵用盾牌，而 K 彈一開始僅配發給指定的神射手。  當德國軍方發現協約國的坦克計畫時，K 彈的生產量很快便開始增加，不久後所有前線士兵都配發到 10 顆 K 彈。從一般的 Gewehr 98 發射時，K 彈能打穿 100 公尺外的 13 mm 裝甲，讓這款子彈成為對付早期英國與法國坦克的利器，特別是在近距離接觸時。這導致 K 彈成為坦克戰初期造成最多操作人員傷亡以及載具損毀的罪魁禍首。  協約國發現這點後，他們也逐漸在新的坦克型號中加厚裝甲的厚度，到了 1918 年 K 彈已經變得不太有效。然而到了這個時候，德軍的策略也有所改變，許多 MG08 重機槍被指派利用裝滿 K 彈的彈鏈來集中火力攻擊坦克。機槍讓 K 彈成為更加有效的反坦克彈藥，因為只要擊中同一個點便能讓裝甲變得熱燙且開始變軟，讓之後的火力能更輕易穿透。  到了戰爭後期，能發射巨型穿甲彈並在環境允許下能打穿 21 mm 裝甲的 13 mm Tank Gewehr 橫空出世。自從坦克嶄露頭角後，德軍在戰場中嘗試並使用了多種不同的反坦克武器與策略，但最終各種不同的火砲才是一次大戰中真正的坦克殺手。"
687AB709,"能打穿坦克的子彈"
687D19BB,"使用Z-10W武裝直升機擊殺500人"
687D469F,"這是你狗牌的預設正面。"
687DBBC0,"唐森: 讓我們為了芬奇回敬他們一份大禮！"
687E757F,"時值今日，仍被認為是世界上最強大的量產車輛。裝有 9.6 公升引擎，四段速的齒輪箱能將引擎的動力傳遞到雙鍊條驅動的後輪軸中。紀錄顯示其最高時速約為每小時 110 公里。這款車曾用來作為土耳其軍與德軍的軍官用車。"
6880950B,"37/95 偵察車"
688283BD,"Z-10W武裝直升機大師狗牌"
6882B0A1,"空白正面"
688335FC,"PROJECT MANAGERS"
68845531,"唐森: 你走錯路了！"
6884D3DD,"愛德華: 敵襲！"
688739C9,"布萊克本: 那你肯定準備好要來點刺激的！抓穩了！"
68908574,"如果他們沒被處罰，就應該負責不會讓我們送命的工作。"
68948917,".44麥格農勤務之星"
6897C091,"伺服器瀏覽器"
689C9413,"狼人"
689C9414,"黑貓"
68A1AF0A,"比查特: 菜鳥，你要去哪？！"
68A1AF0B,"比查特: 愛德華正在離開！新來的你要去哪裡？！"
68A666FA,"全螢幕模式"
68AEA848,"向下俯仰"
68AEB93F,"向下俯仰"
68B0527F,"小隊往右"
68B210FD,"腳架"
68B25602,"載具配件"
68B3004A,"勞倫斯: 我們的敵人能部署許多昂貴的機械化武器。"
68B3863C,"刺刀"
68B55F1B,"設定直升機操作搖桿配置。"
68B8AE9F,"點放扳機"
68BC3557,"旋轉"
68C91AF4,"雙色金"
68CB98BD,"第三人稱視角"
68CED3D3,"MANAGER"
68D68B09,"小鎮廢墟"
68D93F99,"佩槍擊殺數"
68D96D22,"練習場"
68E1A889,"麥克邁納斯: 該死的迫擊砲把前線都擊垮了！"
68E2B1E6,"在同一回合中完成 10 次重新補給"
68E3234C,"享受復活節的彩蛋尋寶活動，到了戰場上記得也要睜大眼睛找。"
68E40ED7,"代表立陶宛的狗牌"
68E81BE8,"補給勳帶"
68E88D4E,"復活節"
68E978D9,"立陶宛"
68EA40A4,"勾索"
68F9C35E,"愛德華: 沒有任何著力點！"
68FAF206,"在戰役中完成揭開序幕"
68FAF207,"在戰役中完成上海突圍"
68FAF208,"在戰役中完成怒海爭鋒"
68FAF209,"在戰役中完成颶風攔截"
68FAF20A,"在戰役中完成越獄風雲"
68FAF20B,"在戰役中完成突破重圍"
68FAF20C,"在戰役中完成運河終幕"
68FAF20D,"在戰役中的揭開序幕獲得7000分"
68FAF20E,"在戰役中的上海突圍獲得11000分"
68FAF226,"在戰役中的怒海爭鋒獲得11000分"
68FAF227,"在戰役中的颶風攔截獲得20000分"
68FAF228,"在戰役中的越獄風雲獲得12000分"
68FAF229,"在戰役中的突破重圍獲得15000分"
68FAF22A,"在戰役中的運河終幕獲得6000分"
68FAF22B,"完成「容易」難度的戰役"
68FAF22C,"完成「正常」難度的戰役"
68FAF22D,"完成「困難」難度的戰役"
68FAF22E,"在戰役中找到 28 本野戰手冊"
68FAF22F,"完成所有戰役小任務"
68FAF247,"在戰役中解鎖全部的小任務和蒐集品"
68FAF248,"在戰役中找到 3 本野戰手冊"
68FAF249,"在戰役中找到 6 本野戰手冊"
68FAF24A,"在戰役中找到 9 本野戰手冊"
68FAF24B,"在戰役中找到 12 本野戰手冊"
68FAF24C,"在戰役中找到 15 本野戰手冊"
68FAF24D,"在戰役中找到 18 本野戰手冊"
68FAF24E,"在戰役中找到 21 本野戰手冊"
68FAF24F,"在戰役的揭開序幕中使用C4炸藥擊殺10人"
68FAF250,"在戰役的上海突圍中多重擊殺10次"
68FAF268,"在戰役的怒海爭鋒中爆頭30次"
68FAF269,"在戰役的颶風攔截中使用RPG擊殺15人"
68FAF26A,"在戰役的越獄風雲中使用小刀擊殺5人"
68FAF26B,"在戰役的突破重圍中取得10次瀕死擊殺"
68FAF26C,"在戰役中讓瓦爾基麗號被摧毀"
68FAF26D,"在戰役中犧牲愛爾蘭佬來拯救瓦爾基麗號"
68FAF26E,"在戰役中犧牲漢娜來拯救瓦爾基麗號"
68FAF26F,"達成戰役中的三種結局"
68FF2E1A,"小隊死鬥"
6901FB3D,"凡事總有第一次"
6902B0A4,"在「臨崩之際」中找到所有野戰手冊"
690A268C,"在「青年使命」中用坦克擊殺其中一位軍官"
690D726E,"永久迷霧"
69161DDD,"防空"
691BE77F,"減小油門閥能減速並快速轉向。王牌飛行員時常必須管控好速度與轉向速率間的平衡。"
691BE780,"若你想要被擊中，就僅管慢慢地直線飛行。使用油門來加速閃過來襲砲火，或靠轉向來做閃避。"
691BE781,"低速飛行時，飛機的靈活度最高。減小油門，對準目標後再加速，才能將擊中對方的機率提升到最高。"
691BE782,"一有時間就盡速修復你的載具。但要謹慎選取時機，修復時你無法射擊任何武器。"
691BE783,"敵方戰機在與其他戰機戰鬥時最為脆弱。加速繞到他們後方，然後在他們逃開之前擊碎他們的機翼或機尾。"
691BE784,"向地面目標射擊出火箭之前，先拉高高度來爭取一點瞄準時間。使用瞄準控制鈕來在安全距離內瞄準目標。"
691BE785,"機槍持續射擊可能會造成武器過熱。短促穩定地點放射擊代表你隨時能維持火力輸出。"
691BE786,"火箭不需要直接命中地面目標。火箭受到衝擊就會爆炸，並且損毀附近所有事物。"
691BE787,"英國皇家飛行隊的座右銘是「Per Ardua Ad Astra」─「穿越逆境才能突破天穹」。"
69227AA4,"纜車站"
69266CB4,"精確射手步槍"
69268EB1,"輕機槍"
6926ABFF,"制式步槍"
6926AC78,"衝鋒槍"
69274818,"減少填裝主要武器的所需時間"
69283E5C,"WEAPON ANIMATOR"
692D4D7D,"用燃燒手榴彈造成 500 點士兵傷害"
69303442,"在自身承受毒氣傷害的情況下進行 50 次擊殺"
6932A27D,"一月"
6932A27E,"二月"
6932A27F,"三月"
6932A280,"四月"
6932A281,"五月"
6932A282,"六月"
6932A283,"七月"
6932A284,"八月"
6932A285,"九月"
69350348,"唐森: 風車！"
6935DA6A,"防毒面具"
6936B4DE,"用 M1903（實驗）進行 15 次擊殺"
693A7E5F,"用鐵蒺藜進行 10 次擊殺"
693C2883,"單發"
694317C1,"在決裂贏得 1 場遊戲"
6944BDDF,"麥克邁納斯: 哈哈！我們擊垮他們了！"
69482C0A,"偵察結果顯示麗思碉堡會是對方的首要攻擊目標，所以準備好防守這裡。"
69482C0B,"如果這個陣地失陷，就立刻撤退至地獄火交界的橋樑上，並堅守防線。"
69482C0C,"若失守，便代表要撤退至修道院遺跡。"
69482C0D,"這一戰，我們不成功─便是成仁。"
694F7E54,"自動左輪手槍"
69565FB4,"用 <Redacted> 擊殺 100 人的獎勵"
69594DFB,"威爾森: 防空砲！"
695BC9B6,"<Redacted>"
6964CC86,"拉特利鏡片"
6965D13A,"麥克邁納斯: 重新瞄準中！等等！"
6967227F,"已將座標傳送至砲兵陣地"
696DB48B,"彈藥類型"
6971E009,"弗雷德里克·畢夏？"
6971E00A,"我的天啊……"
6971E00B,"嘿，你是弗雷德里克·畢夏嗎？"
6971E00C,"不，他死了，很抱歉。"
6971E00D,"但這張不是你的相片嗎？"
6971E00E,"我想也是。"
6971E00F,"傑克·佛斯特。我……我是你的新下屬。"
6971E010,"想都別想。"
6971E011,"你得讓我擺脫這小子。"
6971E012,"哈，當然不可能。他千里迢迢跑來就是為了見你。弗雷德里克·畢夏，澳洲的驕傲。"
6971E02A,"他甚至還謊報年齡，就為了通過徵兵。"
6971E02B,"你會用摩斯密碼嗎？"
6971E02C,"會！"
6971E02D,"跟我來！"
697814A6,"代表斐濟的狗牌"
69784A5F,"取得赤潮行動勝利"
6978E574," CONTENT AND DIGITAL STRATEGY"
697D7EA8,"斐濟"
697D937B,"唐森: 幹得好！但別忘了，今天才剛開始呢。"
697DECEA,"他們清出一條路了，快行動！"
6986EBDF,"你的戰士已更新完畢"
698849DC,"威爾森: 不不不！"
6989E5C7,"盧卡: 我非常想離開戰壕，但我能聽到有人在用義大利文叫喊，我就知道有友軍被困住了。"
699240B5,"衝擊手榴彈"
6993CE5E,"蒙德拉貢步槍（衝鋒）"
699546FF,"威爾森: 別再往下看了好嗎？！"
6998CBB4,"一種美國製造的水冷式重機槍。於一戰時投入戰鬥使用，將在美軍中服役半個世紀。"
699D2AE8,""
69A6C901,"TERNI 裝甲車"
69AB0CEE,"快速部署"
